# Magnto-optical constants for Co L edge: delta beta
# energy (eV)   delta_beta * 1e-3
799.5072085441661  0.15312055865625984
799.6399482677442  0.14737591640948366
799.7726879913224  0.1426633141097713
799.9054277149005  0.13485459196886862
800.0381674384786  0.12910994972209244
800.1709071620567  0.12542938736944365
800.3036468856349  0.11968474512266769
800.436386609213  0.11548816279648677
800.569126332791  0.11180760044383775
800.7018660563691  0.1060629581970618
800.8346057799472  0.09980229597675416
800.9673455035254  0.09715377357116872
801.1000852271035  0.0934732112185197
801.2328249506816  0.08979264886587068
801.3655646742596  0.08662810648675356
801.4983043978377  0.08346356410763622
801.6310441214159  0.08029902172851888
801.763783844994  0.07765049932293322
801.8965235685721  0.07345391699675274
802.0292632921502  0.06822529472350847
802.1620030157284  0.06712483223851828
802.2947427393065  0.06447630983293262
802.4274824628845  0.06182778742734718
802.5602221864626  0.061243344915888454
802.6929619100407  0.0560147226426444
802.8257016336189  0.054914260157653993
802.958441357197  0.05278175772560023
803.0911810807751  0.051681295240609826
803.2239208043532  0.049032772835024385
803.3566605279312  0.04844833032356588
803.4894002515094  0.04734786783857525
803.6221399750875  0.042635265538862877
803.7548796986656  0.04205082302740437
803.8876194222437  0.040950360542413966
804.0203591458219  0.03623775824270159
804.1530988694  0.035653315731243085
804.285838592978  0.03558489319331626
804.4185783165561  0.03551647065538921
804.5513180401342  0.03338396822333545
804.6840577637124  0.03228350573834504
804.7725509127645  0.03223789071306049
