# Magnto-optical constants for Co L edge: beta
# energy (eV)   beta * 1e-3
785.6710003120987  2.297745172284598
785.803654175571  2.258113228472448
785.9363080390433  2.216668909261106
786.0689619025156  2.1788493408481475
786.2016157659879  2.144654523233571
786.3342696294602  2.105022579421421
786.4669234929326  2.070827761806844
786.5995773564048  2.0402576949906504
786.7322312198771  2.009687628174458
786.8648850833493  1.9754928105598806
786.9975389468217  1.9467351191428781
787.130192810294  1.9197898031250675
787.2628466737663  1.8892197363088732
787.3955005372386  1.8604620448918716
787.528154400711  1.835329104273252
787.6608082641832  1.8083837882554397
787.7934621276555  1.779626096838438
787.9261159911279  1.7526807808206275
788.0587698546001  1.727547840202007
788.1914237180724  1.7042272749825784
788.3240775815448  1.671844832767194
788.456731445017  1.6448995167493825
788.5893853084893  1.6252037023283368
788.7220391719616  1.607320263306482
788.8546930354339  1.5876244488854363
788.9873468989063  1.5697410098635824
789.1200007623785  1.5500451954425358
789.2526546258508  1.5375988826182558
789.3853084893232  1.525152569793975
789.5179623527954  1.512706256969694
789.6506162162677  1.505697070342988
789.7832700797401  1.489626006720325
789.9159239432123  1.484429195492809
790.0485778066846  1.4756076334669102
790.1812316701569  1.470410822239395
790.3138855336292  1.456152134015924
790.4465393971016  1.4527676981875999
790.5791932605738  1.443946136161701
790.7118471240461  1.4423740757325687
790.8445009875185  1.4426143907026274
790.9771548509907  1.4428547056726861
791.109808714463  1.4340331436467872
791.2424625779354  1.432461083217655
791.3751164414076  1.4327013981877137
791.50777030488  1.4220674607626247
791.6404241683522  1.4223077757326834
791.7730780318245  1.4225480907027412
791.9057318952969  1.4227884056728
792.0383857587691  1.4230287206428587
792.1710396222414  1.4232690356129174
792.3036934857138  1.4235093505829752
792.436347349186  1.423749665553034
792.5690012126583  1.4239899805230927
792.7016550761307  1.4242302954931514
792.8343089396029  1.4244706104632092
792.9669628030753  1.424710925433268
793.0996166665475  1.4249512404033267
793.2322705300198  1.4251915553733854
793.3649243934922  1.425431870343444
793.4975782569644  1.425672185313502
793.6302321204367  1.4259125002835606
793.7628859839091  1.4207156890560455
793.8955398473813  1.4173312532277214
794.0281937108537  1.4302581959921188
794.160847574326  1.4594965173492378
794.2935014377982  1.5104833434966531
794.4261553012706  1.572344422039217
794.5588091647428  1.646892128376118
794.6914630282151  1.7323140871081675
794.8241168916875  1.8340474244329403
794.9567707551597  1.9375931371569033
795.089424618632  2.048388351477631
795.2220784821044  2.164620691995932
795.3547323455766  2.2808530325142353
795.487386209049  2.404334874629302
795.6200400725213  2.5241919659459864
795.7526939359935  2.636799555665907
795.8853477994659  2.745782394587443
796.0180016629381  2.847515731912215
796.1506555264104  2.938374816841839
796.2833093898828  3.012922523178741
796.415963253355  3.067534100124538
796.5486171168274  3.107646673876806
796.6812709802997  3.131447869036351
796.8139248437719  3.157061439595088
796.9465787072443  3.186299760952208
797.0792325707166  3.217350457708518
797.2118864341888  3.237526902069681
797.3445402976612  3.234142466241357
797.4771941611334  3.1999476486267806
797.6098480246058  3.1639404556130133
797.7425018880781  3.1116218840065235
797.8751557515503  3.050241435404078
798.0078096150227  2.9852362360032494
798.140463478495  2.918418661203229
798.2731173419672  2.8443515848064447
798.4057712054396  2.7757216346072333
798.5384250689119  2.708904059807214
798.6710789323841  2.6420864850071943
798.8037327958565  2.580706036404748
798.9363866593287  2.522950338600684
799.0690405228011  2.479693643990152
799.2016943862734  2.434624573980429
799.3343482497456  2.4076792579626165
799.467002113218  2.382546317343997
799.5996559766903  2.359225752124569
799.7323098401625  2.3340928115059487
799.8649637036349  2.314396997084903
799.9976175671072  2.2965135580630482
800.1302714305795  2.2822548698395755
800.2629252940518  2.2625590554185315
800.395579157524  2.246487991795868
800.5282330209964  2.226792177374821
800.6608868844687  2.214345864550541
800.7935407479409  2.1982748009278783
800.9261946114133  2.1858284881035965
801.0588484748856  2.1751945506785075
801.1915023383579  2.157311111656653
801.3241562018302  2.148489549630755
801.4568100653025  2.12879373520971
801.5894639287748  2.116347422385429
801.7221177922471  2.107525860359531
801.8547716557193  2.0932671721360583
801.9874255191917  2.0844456101101603
802.120079382664  2.0719992972858803
802.2527332461362  2.0613653598607904
802.3853871096086  2.0507314224357014
802.5180409730809  2.0419098604098034
802.6506948365532  2.0222140459887585
802.7833487000255  2.0115801085636695
802.9160025634978  2.0063832973361526
803.0486564269701  1.9903122337134898
803.1813102904424  1.9814906716875917
803.3139641539146  1.9708567342625027
803.446618017387  1.9656599230349867
803.5792718808593  1.9495888594123238
803.7119257443316  1.9425796727856177
803.8445796078039  1.9319457353605287
803.9772334712762  1.915874671737865
804.1098873347485  1.9034283589135832
804.2425411982208  1.898231547686068
804.3751950616931  1.8821604840634052
804.5078489251654  1.875151297436699
804.6405027886377  1.8645173600116092
804.7510476748646  1.8592804962890845
