# Magnto-optical constants for Co L edge: delta delta
# energy (eV)   delta_delta * 1e-3
785.2598115467825  -0.4489550110139018
785.3925512703606  -0.4381870141076625
785.5252909939388  -0.428967077122018
785.6580307175169  -0.4207791800834373
785.790770441095  -0.410011183177198
785.9235101646731  -0.40182328613861684
786.0562498882513  -0.3926033491529728
786.1889896118294  -0.38493147208792355
786.3217293354074  -0.3736474552081519
786.4544690589855  -0.36649159811663456
786.5872087825636  -0.35881972105158577
786.7199485061418  -0.3485677441188775
786.8526882297199  -0.34141188702736014
786.985427953298  -0.33374000996231135
787.118167676876  -0.32710017284432547
787.2509074004541  -0.3178802358586814
787.3836471240323  -0.31124039874069553
787.5163868476104  -0.30460056162270965
787.6491265711885  -0.2984767444782557
787.7818662947666  -0.29183690736027024
787.9146060183448  -0.28364901032168954
788.0473457419229  -0.2790732530978304
788.180085465501  -0.2734654559269083
788.312825189079  -0.2688896987030496
788.4455649126571  -0.2658620013997861
788.5783046362353  -0.2602542042288636
788.7110443598134  -0.25619446697853676
788.8437840833915  -0.253682789648805
788.9765238069696  -0.25117111231907296
789.1092635305477  -0.25072351488346833
789.2420032541258  -0.24769581758020465
789.3747429777039  -0.24776424011813147
789.507482701282  -0.24731664268252684
789.6402224248601  -0.24274088545866812
789.7729621484383  -0.24177726804953115
789.9057018720164  -0.24184569058745797
790.0384415955945  -0.2419141131253848
790.1711813191725  -0.24198253566331185
790.3039210427506  -0.2410189182541751
790.4366607663288  -0.2390232608979752
790.5694004899069  -0.23909168343590204
790.702140213485  -0.23916010597382886
790.8348799370631  -0.2392285285117557
790.9676196606412  -0.23929695104968252
791.1003593842194  -0.23936537358760956
791.2330991077974  -0.2394337961255364
791.3658388313755  -0.23950221866346322
791.4985785549536  -0.23957064120139004
791.6313182785318  -0.23963906373931687
791.7640580021099  -0.2397074862772437
791.896797725688  -0.23977590881517052
792.0295374492661  -0.23984433135309757
792.1622771728441  -0.2399127538910244
792.2950168964223  -0.23998117642895123
792.4277566200004  -0.24004959896687805
792.5604963435785  -0.24011802150480488
792.6932360671566  -0.2401864440427317
792.8259757907347  -0.24025486658065853
792.9587155143129  -0.24032328911858558
793.091455237891  -0.2372955918153219
793.224194961469  -0.23736401435324872
793.3569346850471  -0.23743243689117555
793.4896744086253  -0.23853289937616617
793.6224141322034  -0.24272948170234643
793.7551538557815  -0.25105422381678144
793.8878935793596  -0.2624750857724065
794.0206333029377  -0.27647604759569
794.1533730265159  -0.293573129260164
794.2861127500939  -0.31221827084523324
794.418852473672  -0.33653963213915206
794.5515921972501  -0.35982895348600663
794.6843319208282  -0.3867304146475836
794.8170716444064  -0.4162119756768192
794.9498113679845  -0.4384692570766109
795.0825510915626  -0.44163379945572756
795.2152908151406  -0.4262216227877029
795.3480305387188  -0.3959738718806405
795.4402109023147  -0.3571908845237155
795.5471401240859  -0.3128682849555384
795.657756560401  -0.2667931181034071
795.7636322923026  -0.22363470629661486
795.8789894330312  -0.18609842781154917
796.0117291566094  -0.15984983169935751
796.1444688801874  -0.14288959511073718
796.2772086037655  -0.1264453784956483
796.4099483273436  -0.11258126174821848
796.5426880509217  -0.09768510505372507
796.6754277744999  -0.08485302825335839
796.808167498078  -0.06789279166473827
796.9409072216561  -0.04783643523492742
797.0736469452341  -0.02519997893745818
797.2063866688123  0.004144737015923772
797.3391263923904  0.03452149291636952
797.4718661159685  0.0633501888962198
797.6046058395466  0.08959878500841145
797.7373455631247  0.11068718138528522
797.8700852867029  0.1271313980003741
798.002825010281  0.13996347480074034
798.135564733859  0.14815137183932148
798.2683044574371  0.1501470291955216
798.4010441810152  0.1490465667105314
798.5337839045934  0.14484998438435048
798.6665236281715  0.13446116237578876
798.7992633517496  0.1266524402348861
798.9320030753277  0.11987575804104678
799.0647427989059  0.11413111579427082
799.1974825224839  0.10890249352102677
799.330222246062  0.10264183130071913
799.4629619696401  0.09792922900100653
799.5957016932182  0.09424866664835752
799.7284414167964  0.08902004437511324
799.8611811403745  0.08533948202246422
