# Magnto-optical constants for Co L edge: delta
# energy (eV)   delta * 1e-3
789.318981557587  0.026197957177735987
789.4516354210592  0.022813521349410948
789.5842892845316  0.015804334722705704
789.7169431480039  0.014232274293572544
789.8495970114761  0.005410712267675422
789.9822508749485  0.005651027237734141
790.1149047384208  -0.0013581593889728794
790.247558601893  -0.015616847612445639
790.3802124653654  -0.01537653264238692
790.5128663288376  -0.020573343869903837
790.64552019231  -0.02577015509741898
790.7781740557823  -0.03096696632493412
790.9108279192545  -0.03616377755244926
791.0434817827269  -0.03592346258239054
791.1761356461992  -0.055619277003435386
791.3087895096714  -0.057191337432568545
791.4414433731438  -0.07507477645442329
791.5740972366161  -0.07845921228274833
791.7067511000884  -0.08728077430864545
791.8394049635607  -0.09428996093535247
791.9720588270329  -0.09948677216286761
792.1047126905053  -0.11918258658391423
792.2373665539776  -0.12619177321061947
792.3700204174498  -0.13682571063570848
792.5026742809222  -0.15108439885918123
792.6353281443945  -0.17259258867941973
792.7679820078667  -0.19047602770127448
792.9006358713391  -0.21017184212231932
793.0332897348114  -0.23349240734174792
793.1659435982837  -0.2586253479603684
793.298597461756  -0.29282016557494295
793.4312513252282  -0.31976548159275353
793.5639051887006  -0.3467107976105641
793.6965590521729  -0.3863427414227143
793.8292129156451  -0.42597468523486626
793.9618667791175  -0.4692313798454002
794.0945206425898  -0.525174702250272
794.227174506062  -0.5756808984575681
794.3598283695344  -0.6352489716608236
794.4924822330067  -0.6911922940656954
794.625136096479  -0.7543851180673311
794.7577899599513  -0.8103284404722046
794.8904438234235  -0.8662717628770764
795.0230976868959  -0.9167779590843743
795.1557515503682  -0.9564099028965263
795.2884054138405  -0.9833552189143369
795.4210592773128  -0.995801531738616
795.5537131407851  -0.9810622135750275
795.6863670042574  -0.9500115168187175
795.8190208677297  -0.8863380628769626
795.951674731202  -0.8154151073384419
796.0843285946743  -0.740867401001541
796.2169824581466  -0.6518206914711087
796.3496363216188  -0.5573368557431024
796.4822901850912  -0.4592282692167142
796.6149440485635  -0.36111968269032424
796.7475979120358  -0.26482347156312613
796.8802517755081  -0.17940151283107575
797.0129056389804  -0.10304143109498298
797.1455595024527  -0.04299272795161002
797.278213365925  0.006181722796611666
797.4108672293974  0.04266954575049553
797.5435210928696  0.08459449490195503
797.6761749563419  0.11202044085988305
797.8088288198142  0.14125876221700295
797.9414826832865  0.1668723327757391
798.0741365467588  0.196110654132859
798.2067904102311  0.2126623476956393
798.3394442737034  0.2292140412584196
798.4720981371757  0.24214098402281614
798.604752000648  0.25325555138802436
798.7374058641203  0.26074536795484704
798.8700597275927  0.2718599353200535
799.0027135910649  0.2829745026852599
799.1353674545372  0.29227669465127626
799.2680213180095  0.3052036374156728
799.4006751814818  0.30544395238573063
799.5333290449541  0.30568426735578935
799.6659829084264  0.30592458232584807
799.7986367718987  0.3061648972959068
799.931290635371  0.3064052122659646
800.0639444988433  0.30664552723602334
800.1965983623156  0.30688584220608206
800.329252225788  0.3071261571761408
800.4619060892602  0.3073664721461995
800.5945599527325  0.30760678711625733
800.7272138162048  0.30784710208631605
800.8598676796771  0.3026502908588009
800.9925215431495  0.2902039780345218
801.1251754066217  0.2868195422061959
801.257829270094  0.2870598571762546
801.3904831335664  0.2873001721463133
801.5231369970386  0.28029098551960807
801.6557908605109  0.2678446726953254
801.7884447239833  0.26627261226619314
801.9210985874555  0.26651292723625186
802.0537524509278  0.2667532422063106
802.1864063144001  0.25974405557960534
802.3190601778724  0.2563596197512794
802.4517140413448  0.254787559322148
802.584367904817  0.24596599729624913
802.7170217682893  0.24620631226630785
802.8496756317617  0.24644662723636657
802.9823294952339  0.24668694220642529
803.1149833587062  0.2342406293821444
803.2476372221786  0.2254190673562455
803.3802910856508  0.22565938232630423
803.5129449491232  0.22589969729636294
803.6455988125954  0.22614001226642166
803.7782526760677  0.22638032723648038
803.9109065395401  0.2266206422065391
804.0435604030123  0.22686095717659782
804.1762142664846  0.22166414594908268
804.308868129957  0.21646733472156754
804.4415219934292  0.21670764969162448
804.5741758569015  0.2169479646616832
804.7068297203739  0.21718827963174192
804.7842111407327  0.2173284633642769
